Age(Year)   Epochs	max_seq_len	    batch_size	attention_heads num_hidden_layers   hidden_size	    lr	        Best Acc
Yes 	    30	    256	            128	        12	                 6	            288	            3.00E-05	0.5179
-------------------------------------------------------------------------------------------------------------------------
Training model. This will take time...
/usr/local/lib/python3.10/dist-packages/pytorch_pretrained_bert/optimization.py:275: UserWarning: This overload of add_ is deprecated:
	add_(Number alpha, Tensor other)
Consider using one of the following signatures instead:
	add_(Tensor other, *, Number alpha) (Triggered internally at ../torch/csrc/utils/python_arg_parser.cpp:1485.)
  next_m.mul_(beta1).add_(1 - beta1, grad)
epoch: 0	| Batches: 100	| Total samples: 12800	 |Loss: 4.173036320209503	| precision: 0.3299	| time: 90.22
epoch: 0	| Batches: 200	| Total samples: 25600	 |Loss: 3.9890609645843504	| precision: 0.3387	| time: 84.91
epoch: 0	| Batches: 300	| Total samples: 38400	 |Loss: 3.8348049306869507	| precision: 0.3604	| time: 84.07
epoch: 0	| Batches: 400	| Total samples: 51200	 |Loss: 3.6523276424407958	| precision: 0.3643	| time: 84.05
epoch: 0	| Batches: 426	| Total samples: 54498	 |Loss: 3.537033255283649	| precision: 0.3704	| time: 21.62
** ** * Saving fine - tuned model ** ** * 
epoch: 1	| Batches: 100	| Total samples: 12800	 |Loss: 3.4806970524787904	| precision: 0.3682	| time: 84.11
epoch: 1	| Batches: 200	| Total samples: 25600	 |Loss: 3.3854252576828	| precision: 0.3716	| time: 84.02
epoch: 1	| Batches: 300	| Total samples: 38400	 |Loss: 3.3084163522720336	| precision: 0.3743	| time: 83.95
epoch: 1	| Batches: 400	| Total samples: 51200	 |Loss: 3.2571898198127744	| precision: 0.3773	| time: 84.09
epoch: 1	| Batches: 426	| Total samples: 54498	 |Loss: 3.232458683160635	| precision: 0.3815	| time: 21.58
** ** * Saving fine - tuned model ** ** * 
epoch: 2	| Batches: 100	| Total samples: 12800	 |Loss: 3.178279094696045	| precision: 0.3828	| time: 83.82
epoch: 2	| Batches: 200	| Total samples: 25600	 |Loss: 3.1322914505004884	| precision: 0.3868	| time: 83.97
epoch: 2	| Batches: 300	| Total samples: 38400	 |Loss: 3.088214054107666	| precision: 0.3899	| time: 84.30
epoch: 2	| Batches: 400	| Total samples: 51200	 |Loss: 3.028865990638733	| precision: 0.3989	| time: 84.20
epoch: 2	| Batches: 426	| Total samples: 54498	 |Loss: 3.045081615447998	| precision: 0.3892	| time: 21.65
** ** * Saving fine - tuned model ** ** * 
epoch: 3	| Batches: 100	| Total samples: 12800	 |Loss: 2.980244324207306	| precision: 0.4020	| time: 83.90
epoch: 3	| Batches: 200	| Total samples: 25600	 |Loss: 2.948078441619873	| precision: 0.4053	| time: 84.26
epoch: 3	| Batches: 300	| Total samples: 38400	 |Loss: 2.936603262424469	| precision: 0.4041	| time: 83.99
epoch: 3	| Batches: 400	| Total samples: 51200	 |Loss: 2.8818159461021424	| precision: 0.4133	| time: 83.94
epoch: 3	| Batches: 426	| Total samples: 54498	 |Loss: 2.8874852382219753	| precision: 0.4106	| time: 21.69
** ** * Saving fine - tuned model ** ** * 
epoch: 4	| Batches: 100	| Total samples: 12800	 |Loss: 2.864401116371155	| precision: 0.4108	| time: 84.23
epoch: 4	| Batches: 200	| Total samples: 25600	 |Loss: 2.8270671939849854	| precision: 0.4161	| time: 84.05
epoch: 4	| Batches: 300	| Total samples: 38400	 |Loss: 2.8278652596473695	| precision: 0.4172	| time: 84.02
epoch: 4	| Batches: 400	| Total samples: 51200	 |Loss: 2.809308624267578	| precision: 0.4185	| time: 84.15
epoch: 4	| Batches: 426	| Total samples: 54498	 |Loss: 2.800772327643174	| precision: 0.4185	| time: 21.71
** ** * Saving fine - tuned model ** ** * 
epoch: 5	| Batches: 100	| Total samples: 12800	 |Loss: 2.7770060753822325	| precision: 0.4216	| time: 83.99
epoch: 5	| Batches: 200	| Total samples: 25600	 |Loss: 2.7392247676849366	| precision: 0.4277	| time: 84.03
epoch: 5	| Batches: 300	| Total samples: 38400	 |Loss: 2.735590696334839	| precision: 0.4253	| time: 83.95
epoch: 5	| Batches: 400	| Total samples: 51200	 |Loss: 2.716229043006897	| precision: 0.4255	| time: 84.15
epoch: 5	| Batches: 426	| Total samples: 54498	 |Loss: 2.6900229178942165	| precision: 0.4309	| time: 21.70
** ** * Saving fine - tuned model ** ** * 
epoch: 6	| Batches: 100	| Total samples: 12800	 |Loss: 2.6873435735702516	| precision: 0.4300	| time: 83.95
epoch: 6	| Batches: 200	| Total samples: 25600	 |Loss: 2.6918977332115173	| precision: 0.4321	| time: 84.12
epoch: 6	| Batches: 300	| Total samples: 38400	 |Loss: 2.6637918186187743	| precision: 0.4350	| time: 84.14
epoch: 6	| Batches: 400	| Total samples: 51200	 |Loss: 2.654075207710266	| precision: 0.4340	| time: 84.13
epoch: 6	| Batches: 426	| Total samples: 54498	 |Loss: 2.6313137457920956	| precision: 0.4424	| time: 21.70
** ** * Saving fine - tuned model ** ** * 
epoch: 7	| Batches: 100	| Total samples: 12800	 |Loss: 2.6306876802444457	| precision: 0.4384	| time: 84.07
epoch: 7	| Batches: 200	| Total samples: 25600	 |Loss: 2.623907136917114	| precision: 0.4415	| time: 84.17
epoch: 7	| Batches: 300	| Total samples: 38400	 |Loss: 2.6009824204444887	| precision: 0.4455	| time: 83.95
epoch: 7	| Batches: 400	| Total samples: 51200	 |Loss: 2.59964998960495	| precision: 0.4467	| time: 84.04
epoch: 7	| Batches: 426	| Total samples: 54498	 |Loss: 2.600201423351581	| precision: 0.4412	| time: 21.68
** ** * Saving fine - tuned model ** ** * 
epoch: 8	| Batches: 100	| Total samples: 12800	 |Loss: 2.5739510798454286	| precision: 0.4502	| time: 84.07
epoch: 8	| Batches: 200	| Total samples: 25600	 |Loss: 2.56537296295166	| precision: 0.4491	| time: 83.88
epoch: 8	| Batches: 300	| Total samples: 38400	 |Loss: 2.551297788619995	| precision: 0.4527	| time: 84.02
epoch: 8	| Batches: 400	| Total samples: 51200	 |Loss: 2.541713659763336	| precision: 0.4533	| time: 84.31
